player_id,salary,season,year,team,salary_cap,team_total_salary,salary_perc,salary_team_rank,salary_team_var,holdout_dummy,sal_cap_perc_increase
garlawi01,450000,1990-91,1990,Los Angeles Clippers,11871000,10245000,0.043923865,9,2.99E+11,0,0.211079372
garrito01,340000,1990-91,1990,Los Angeles Clippers,11871000,10245000,0.03318692,11,2.99E+11,0,0.211079372
grantga01,530000,1990-91,1990,Los Angeles Clippers,11871000,10245000,0.051732552,8,2.99E+11,0,0.211079372
harpero01,1365000,1990-91,1990,Los Angeles Clippers,11871000,10245000,0.133235725,2,2.99E+11,0,0.211079372
kimblbo01,950000,1990-91,1990,Los Angeles Clippers,11871000,10245000,0.09272816,5,2.99E+11,0,0.211079372
mannida01,2200000,1990-91,1990,Los Angeles Clippers,11871000,10245000,0.214738897,1,2.99E+11,0,0.211079372
martije01,210000,1990-91,1990,Los Angeles Clippers,11871000,10245000,0.020497804,13,2.99E+11,0,0.211079372
normake01,1050000,1990-91,1990,Los Angeles Clippers,11871000,10245000,0.102489019,3,2.99E+11,0,0.211079372
polynol01,600000,1990-91,1990,Los Angeles Clippers,11871000,10245000,0.058565154,7,2.99E+11,0,0.211079372
smithch01,1000000,1990-91,1990,Los Angeles Clippers,11871000,10245000,0.09760859,4,2.99E+11,0,0.211079372
smrekmi01,325000,1990-91,1990,Los Angeles Clippers,11871000,10245000,0.031722792,12,2.99E+11,0,0.211079372
vaughlo01,825000,1990-91,1990,Los Angeles Clippers,11871000,10245000,0.080527086,6,2.99E+11,0,0.211079372
campbel01,575000,1990-91,1990,Los Angeles Lakers,11871000,12120000,0.047442244,8,5.61E+11,0,0.211079372
divacvl01,770000,1990-91,1990,Los Angeles Lakers,11871000,12120000,0.063531353,6,5.61E+11,0,0.211079372
drewla01,550000,1990-91,1990,Los Angeles Lakers,11871000,12120000,0.045379538,9.5,5.61E+11,0,0.211079372
greenac01,1750000,1990-91,1990,Los Angeles Lakers,11871000,12120000,0.144389439,3,5.61E+11,0,0.211079372
johnsma02,2400000,1990-91,1990,Los Angeles Lakers,11871000,12120000,0.198019802,1,5.61E+11,0,0.211079372
perkisa01,1970000,1990-91,1990,Los Angeles Lakers,11871000,12120000,0.162541254,2,5.61E+11,0,0.211079372
scottby01,1100000,1990-91,1990,Los Angeles Lakers,11871000,12120000,0.090759076,5,5.61E+11,0,0.211079372
smithto02,120000,1990-91,1990,Los Angeles Lakers,11871000,12120000,0.00990099,11.5,5.61E+11,0,0.211079372
teaglte01,550000,1990-91,1990,Los Angeles Lakers,11871000,12120000,0.045379538,9.5,5.61E+11,0,0.211079372
thomair01,120000,1990-91,1990,Los Angeles Lakers,11871000,12120000,0.00990099,11.5,5.61E+11,0,0.211079372
thompmy01,615000,1990-91,1990,Los Angeles Lakers,11871000,12120000,0.050742574,7,5.61E+11,0,0.211079372
worthja01,1600000,1990-91,1990,Los Angeles Lakers,11871000,12120000,0.132013201,4,5.61E+11,0,0.211079372
askinke01,150000,1990-91,1990,Miami Heat,11871000,8510000,0.017626322,12,4.00E+11,0,0.211079372
burtowi01,2000000,1990-91,1990,Miami Heat,11871000,8510000,0.235017626,1,4.00E+11,0,0.211079372
colesbi01,290000,1990-91,1990,Miami Heat,11871000,8510000,0.034077556,10,4.00E+11,0,0.211079372
