"player_id","salary","season","year","team","salary_cap","team_total_salary","salary_perc","salary_team_rank","salary_team_var","holdout_dummy","sal_cap_perc_increase","player_year","cpa_one","cpa_two","cpa_three","cpa_four","cpa_five","cpa_six","top_player","top_two_player","top_three_player","starting_five"
"flemive01",667000,"1990-91",1990,"Indiana Pacers",11871000,10981000,0.06074128,7,4.14e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"mccloge01",940000,"1990-91",1990,"Indiana Pacers",11871000,10981000,0.085602404,5,4.14e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,1
"millere01",654000,"1990-91",1990,"Indiana Pacers",11871000,10981000,0.059557417,8,4.14e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"persoch01",2150000,"1990-91",1990,"Indiana Pacers",11871000,10981000,0.195792733,1,4.14e+11,0,0.211079372,1,1,0,0,0,0,0,1,1,1,1
"sandemi01",760000,"1990-91",1990,"Indiana Pacers",11871000,10981000,0.069210454,6,4.14e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"schrede01",1160000,"1990-91",1990,"Indiana Pacers",11871000,10981000,0.105637009,4,4.14e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,1
"smitsri01",1350000,"1990-91",1990,"Indiana Pacers",11871000,10981000,0.122939623,3,4.14e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,1,1
"thompla01",2000000,"1990-91",1990,"Indiana Pacers",11871000,10981000,0.182132775,2,4.14e+11,0,0.211079372,1,1,0,0,0,0,0,0,1,1,1
"willike03",175000,"1990-91",1990,"Indiana Pacers",11871000,10981000,0.015936618,12,4.14e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"willimi02",325000,"1990-91",1990,"Indiana Pacers",11871000,10981000,0.029596576,10,4.14e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"wittmra01",500000,"1990-91",1990,"Indiana Pacers",11871000,10981000,0.045533194,9,4.14e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"bannike01",400000,"1990-91",1990,"Los Angeles Clippers",11871000,10245000,0.039043436,10,2.99e+11,0,0.211079372,1.5,1,0,0,0,0,0,0,0,0,0
"garlawi01",450000,"1990-91",1990,"Los Angeles Clippers",11871000,10245000,0.043923865,9,2.99e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"garrito01",340000,"1990-91",1990,"Los Angeles Clippers",11871000,10245000,0.03318692,11,2.99e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"grantga01",530000,"1990-91",1990,"Los Angeles Clippers",11871000,10245000,0.051732552,8,2.99e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
